site_code,LATENT_TRAFFIC,month_year,LAT,LON
MBVLM,39580678.01748423,2019-04-01,14.027105,100.614743
HCU2M,35486712.0311876,2019-04-01,13.625284,100.760935
T612M,31256580.144423354,2019-04-01,13.542581,100.622592
VPCTM,25862686.400932826,2019-04-01,13.81835,100.559062
PASPM,22903629.72294663,2019-04-01,13.59374,100.76431
TWTRM,19105368.154820945,2019-04-01,13.635139,100.61203
KSPNM,17597844.09726414,2019-04-01,13.613133,100.672037
EK69M,16979129.054102533,2019-04-01,13.678569,100.43373
SMPAM,16831268.471782878,2019-04-01,13.654195,100.46659
SK28M,16336344.292245096,2019-04-01,13.72837,100.57206
TRS3M,16241306.840820612,2019-04-01,13.984361,100.611501
P55YM,15060310.638643928,2019-04-01,13.87157098,100.591314
WBBRM,14310750.743334465,2019-04-01,13.777438,100.471756
NW31M,13674336.380100485,2019-04-01,13.857581,100.542145
PKVLM,11210537.54459194,2019-04-01,13.91317,100.51218
RKKGM,10491006.56277426,2019-04-01,13.964244,100.483172
PSKKM,10316284.520971138,2019-04-01,13.672821,100.439191
SASKM,9791777.002651393,2019-04-01,13.742066,100.561713
R212M,9056644.64032646,2019-04-01,13.68268,100.479584
BPM4M,8641370.1181142,2019-04-01,13.573106,100.791459
NMV3M,7847342.640345817,2019-04-01,14.11463,100.61639
SEK1M,7494619.518638843,2019-04-01,13.72983,100.58602
LLK3M,7487806.773871198,2019-04-01,14.031436,100.38675
PY53M,7307019.327570002,2019-04-01,13.869057,100.589708
RCW1M,6969621.734122927,2019-04-01,13.778863,100.522717
FS3DM,6943463.229917795,2019-04-01,13.935437,100.601275
YMMTM,6646342.26528626,2019-04-01,13.6212,100.631111
THEPM,5886337.357146764,2019-04-01,14.021099,100.533308
SA35M,5786422.747526442,2019-04-01,13.63741,100.42859
PCR2M,5546062.291615847,2019-04-01,13.80628,100.521951
WBPYM,5086802.876007142,2019-04-01,13.604423,100.710003
WYPNM,4947460.958077429,2019-04-01,13.742066,100.526717
V163M,4793979.112935078,2019-04-01,13.79959,100.56283
RSC2M,4734691.505833121,2019-04-01,14.051543,100.619213
KTB4M,4446945.673404522,2019-04-01,13.71751,100.49557
WNCNM,4212458.183210708,2019-04-01,13.83386,100.638702
SVAQM,2693418.840360446,2019-04-01,13.724348,100.760832
TB51M,2495567.9618508015,2019-04-01,13.56431,100.61512
S372M,2310083.7547389828,2019-04-01,13.692384,100.535748
KN21M,2250358.6704219654,2019-04-01,13.81591,100.52932
BMKSM,2243425.524005566,2019-04-01,13.756065,100.553714
SMWTM,2132161.8194229924,2019-04-01,13.740667,100.578331
BKN1M,1800177.9491322078,2019-04-01,13.772463,100.479723
MTF1A,1668640.0620333669,2019-04-01,13.917614,100.546849
RSLSM,1639912.3053310234,2019-04-01,13.994247,100.610704
R135M,1421542.7952759634,2019-04-01,13.98939,100.6237
TK36M,1364999.6721963962,2019-04-01,14.112581,100.621766
SWBBM,1264384.530801196,2019-04-01,13.664131,100.385159
NDR2M,1240707.478817686,2019-04-01,13.61082,100.68932
O392M,1122059.5605533095,2019-04-01,13.717118,100.63439
N163M,1047093.5682977858,2019-04-01,13.836644,100.65928
SWBPM,950561.7302092634,2019-04-01,13.699873,100.784686
SPPWM,921686.6876579046,2019-04-01,13.770342,100.56145
P3S8M,810072.1969228284,2019-04-01,13.878072,100.525726
LP57M,803305.0423961744,2019-04-01,13.79354,100.598
STN5M,596433.0893429215,2019-04-01,13.77245,100.58203
SA13M,565188.7667278226,2019-04-01,13.64111,100.418477
CR19M,490101.7875070664,2019-04-01,13.869808,100.619167
RB22M,457559.168754004,2019-04-01,13.86586,100.50672
PK48M,425331.65919488814,2019-04-01,13.730953,100.43428
SN26M,414223.1938868917,2019-04-01,13.827752,100.589918
EK59M,406334.3423665753,2019-04-01,13.680369,100.439589
MPMGM,380110.22124793206,2019-04-01,13.664158,100.355971
WTMWM,351253.5379764392,2019-04-01,13.582286,100.577505
AKW2M,279978.965046412,2019-04-01,13.723568,100.564433
CCR5M,272493.4777573794,2019-04-01,13.738232,100.528904
RM80M,180132.78811224853,2019-04-01,13.77182,100.66499
